Fingerprint,Contribution
APC2D8_N_S,0
APC2D8_N_P,0
APC2D8_N_Br,0
APC2D8_N_I,0
APC2D8_N_B,0
APC2D8_N_Si,0
APC2D8_O_P,0
APC2D8_O_F,0
APC2D8_O_Br,0
APC2D8_O_I,0
APC2D8_O_B,0
APC2D8_O_Si,0
APC2D8_S_S,0
APC2D8_S_P,0
APC2D8_S_F,0
APC2D8_S_Cl,0
APC2D8_S_Br,0
APC2D8_S_I,0
APC2D8_S_B,0
APC2D8_S_Si,0
APC2D8_S_X,0
APC2D8_P_P,0
APC2D8_P_F,0
APC2D8_P_Cl,0
APC2D8_P_Br,0
APC2D8_P_I,0
APC2D8_P_B,0
APC2D8_P_Si,0
APC2D8_P_X,0
APC2D8_F_F,0
APC2D8_F_Cl,0
APC2D8_F_Br,0
APC2D8_F_I,0
APC2D8_F_B,0
APC2D8_F_Si,0
APC2D8_F_X,0
APC2D8_Cl_Cl,0
APC2D8_Cl_Br,0
APC2D8_Cl_I,0
APC2D8_Cl_B,0
APC2D8_Cl_Si,0
APC2D8_Cl_X,0
APC2D8_Br_Br,0
APC2D8_Br_I,0
APC2D8_Br_B,0
APC2D8_Br_Si,0
APC2D8_Br_X,0
APC2D8_I_I,0
APC2D8_I_B,0
APC2D8_I_Si,0
APC2D8_I_X,0
APC2D8_B_B,0
APC2D8_B_Si,0
APC2D8_B_X,0
APC2D8_Si_Si,0
APC2D8_Si_X,0
APC2D8_X_X,0
APC2D9_C_P,0
APC2D9_C_I,0
APC2D9_C_B,0
APC2D9_C_Si,0
APC2D9_N_P,0
APC2D9_N_I,0
APC2D9_N_B,0
APC2D9_N_Si,0
APC2D9_O_P,0
APC2D9_O_Br,0
APC2D9_O_I,0
APC2D9_O_B,0
APC2D9_O_Si,0
APC2D9_S_S,0
APC2D9_S_P,0
APC2D9_S_F,0
APC2D9_S_Cl,0
APC2D9_S_Br,0
APC2D9_S_I,0
APC2D9_S_B,0
APC2D9_S_Si,0
APC2D9_S_X,0
APC2D9_P_P,0
APC2D9_P_F,0
APC2D9_P_Cl,0
APC2D9_P_Br,0
APC2D9_P_I,0
APC2D9_P_B,0
APC2D9_P_Si,0
APC2D9_P_X,0
APC2D9_F_F,0
APC2D9_F_Cl,0
APC2D9_F_Br,0
APC2D9_F_I,0
APC2D9_F_B,0
APC2D9_F_Si,0
APC2D9_F_X,0
APC2D9_Cl_Cl,0
APC2D9_Cl_Br,0
APC2D9_Cl_I,0
APC2D9_Cl_B,0
APC2D9_Cl_Si,0
APC2D9_Cl_X,0
APC2D9_Br_Br,0
APC2D9_Br_I,0
APC2D9_Br_B,0
APC2D9_Br_Si,0
APC2D9_Br_X,0
APC2D9_I_I,0
APC2D9_I_B,0
APC2D9_I_Si,0
APC2D9_I_X,0
APC2D9_B_B,0
APC2D9_B_Si,0
APC2D9_B_X,0
APC2D9_Si_Si,0
APC2D9_Si_X,0
APC2D9_X_X,0
APC2D10_C_P,0
APC2D10_C_I,0
APC2D10_C_B,0
APC2D10_C_Si,0
APC2D10_N_P,0
APC2D10_N_F,0
APC2D10_N_Cl,0
APC2D10_N_I,0
APC2D10_N_B,0
APC2D10_N_Si,0
APC2D10_O_S,0
APC2D10_O_P,0
APC2D10_O_Br,0
APC2D10_O_I,0
APC2D10_O_B,0
APC2D10_O_Si,0
APC2D10_S_S,0
APC2D10_S_P,0
APC2D10_S_F,0
APC2D10_S_Cl,0
APC2D10_S_Br,0
APC2D10_S_I,0
APC2D10_S_B,0
APC2D10_S_Si,0
APC2D10_S_X,0
APC2D10_P_P,0
APC2D10_P_F,0
APC2D10_P_Cl,0
APC2D10_P_Br,0
APC2D10_P_I,0
APC2D10_P_B,0
APC2D10_P_Si,0
APC2D10_P_X,0
APC2D10_F_F,0
APC2D10_F_Cl,0
APC2D10_F_Br,0
APC2D10_F_I,0
APC2D10_F_B,0
APC2D10_F_Si,0
APC2D10_F_X,0
APC2D10_Cl_Cl,0
APC2D10_Cl_Br,0
APC2D10_Cl_I,0
APC2D10_Cl_B,0
APC2D10_Cl_Si,0
APC2D10_Cl_X,0
APC2D10_Br_Br,0
APC2D10_Br_I,0
APC2D10_Br_B,0
APC2D10_Br_Si,0
APC2D10_Br_X,0
APC2D10_I_I,0
APC2D10_I_B,0
APC2D10_I_Si,0
APC2D10_I_X,0
APC2D10_B_B,0
APC2D10_B_Si,0
APC2D10_B_X,0
APC2D10_Si_Si,0
APC2D10_Si_X,0
APC2D10_X_X,0
